,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
4.0,660,765,464,475,735,765,464,490,605,675,450,478,605,675,450,475
9.0,660,765,464,475,735,765,464,475,605,675,450,478,605,675,450,475
14.0,735,850,464,478,735,765,464,478,605,307,435,478,605,597,464,465
