,A,B,C,D,E,F,G,H
11.0,16769,14957,14501,14620,14552,15042,14594,15408
25.0,18232,15954,16091,15875,15612,15601,15482,16216
37.0,18753,16820,15338,16287,16374,16653,15970,17132
