,B,C,D,E,F,G,H,I
3.0,9220,9226,9760,9247,8524,9269,9201,9199
6.0,9393,9403,9621,9419,8738,9445,9372,9369
9.0,9557,9557,9788,9581,8907,9613,9531,9527
