,1,10,2,3,4,5,6,7,8,9
8.0,4854702,3565692,3906254,3557672,5610855,3504339,4854702,4854702,3557672,5610855
18.0,5091814,3740127,4109572,3731305,5884335,3677571,5091814,5091814,3731305,5884335
29.0,5352194,3931805,4333388,3922181,6184905,3868848,5352194,5352194,3922181,6184905
