,LA,LALB,LARA,LB,LC,LD,RA,RARB,RB,RBRC,RC,RD
25.0,13611,11478,12205,11534,10663,11727,12532,10964,11124,10844,13948,10983
62.0,15289,12657,12548,14422,14855,15109,14926,12459,13717,12334,14929,14246
101.0,,,,,,,,,,,,
