,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9
5.0,4082850,3587910,3587910,3587910,5704800,3630420,3610085,3795440,4247630,3587910,3587910,3709250,3587910,3587910,3587910,3377820,5073950,3701850,3666700,3707250,3707250,3646130,3587910,3587910
8.0,4162950,3650230,3650230,3650230,5799600,3693915,3675655,3862320,4321350,3650230,3650230,3783990,3650230,3650230,3650230,3436720,4366880,3772890,3357750,3397500,3397500,3696970,3650230,3650230
10.0,4276350,3692050,3692050,4182820,5862600,3735830,3719645,3907200,4370335,3692050,3692050,3846890,3692050,3692050,3692050,3476240,4416370,3820250,3395860,3436125,3436125,3739200,3692050,3692050
