,4,5-7,A,B,C,D,E,F,G,H,I,J,K,L,M,N
4.0,9341,,10179,10947,10615,11633,10720,10770,10808,10782,11204,11408,10851,10851,10919,10328
10.0,9769,,10390,11256,10686,11945,10862,10951,11191,10962,11341,11566,11235,11235,11318,10644
15.0,10221,,10707,11902,11107,12434,11243,11084,12141,11094,12250,11907,12172,12172,12215,10916
