,2,AW02,AW03,AW07,AW7,BW02,BW06,CW01,CW03,CW06
8.0,1649349,1644015,1649349,1961960,1966370,1649349,1661922,1659255,1616964,1642110
18.0,1686687,1681353,1686687,2038890,2015860,1686687,1695069,1694688,1674495,1705356
28.0,1746504,1740789,1746504,2085930,2085930,1746504,1754124,1753362,1731645,1722501
