,A1,A10,A1A,A1B,A2,A3,A3A,A4,A5,A5A,A6,A6A,A7,A7A,A7B,A8,A8A,A8B,A9,A9A,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,C7,C8,C9
10.0,14673,15187,14914,14930,16686,13451,14965,14939,13469,14937,13214,14918,13775,14937,14937,13408,14914,14914,14386,14924,13939,13982,13767,13469,13438,13505,15515,15919,16061,15782,14810,14640,16206,15965,13408
19.0,16113,15535,15763,15779,15508,14627,16040,16141,15003,15785,14469,16121,14975,15785,15785,15952,15763,15763,14858,15773,15007,15213,15032,15003,14639,14392,15799,16583,16814,16454,16041,16098,16977,16405,16494
28.0,16685,16469,17442,17463,16843,15610,17347,17395,15684,17471,15432,17376,15955,17471,17471,15640,17442,17442,15824,17455,16579,16204,16009,15684,15621,15327,17536,18175,18340,18047,17426,17258,18231,18117,16238
