,A,B,C,D,E,F,G
8.0,5132448,4737490,4340595,5391088,4502160,4926252,6018272
16.0,5348559,5084119,4642497,5849904,4725714,5226306,6204456
21.0,5830228,5519732,4963293,6261820,5202348,5769654,6678944
