,A,B,C,D,E,F,G,H,J,K,L,M
6.0,484,484,591,591,427,427,591,591,484,484,427,427
14.0,484,484,591,591,427,427,591,591,484,484,427,427
23.0,484,484,591,591,427,427,591,591,484,484,427,427
