,A,B,C,D,E,F,G,H,J,K,L,M
6.0,450,385,410,410,385,450,450,385,410,410,385,450
12.0,450,385,410,410,385,450,450,385,410,410,385,450
19.0,529,293,410,410,293,632,450,360,338,410,360,450
