,1,2,3,4,5,6,7,8,A1,A3,A4,A5,A6,A7,A8
5.0,17454,16316,17037,17454,18504,15689,15696,17454,17623,16050,17602,17844,15171,15624,17387
14.0,18134,16459,17014,18134,18172,15940,16016,18134,18305,16625,18257,18364,15775,15883,18065
23.0,19056,16983,17030,19056,19056,16357,16416,19301,19316,16957,18980,18863,16214,16427,18721
