,A,B,C,D,E,F,G,H,I,J
4.0,4519776,3568347,3685792,3625513,3568347,4450356,3621600,3605472,3679776,3621600
7.0,4604860,3636550,3759938,3689754,3636550,4535796,3691008,3688992,3750912,3691008
10.0,4688164,3706734,3884175,3765881,3706734,4619100,3762144,3749472,3816288,3762144
