,A,B,C,D,L,M,N
5.0,5702904,5519570,7474680,7239297,5869995,5647750,5584896
8.0,5817852,5702676,7626960,7377843,5993260,5762550,5698824
12.0,5969468,5848836,7755480,7552368,6145450,5913840,5849516
