,A,B,BE,C,D,E,F,FG,G,H
2.0,11917840,7598908,70603113,8184880,16592583,16958809,7882917,16696080,7944618,9864325
3.0,10431846,7754280,70939927,7658060,16974363,17368869,8005368,16773840,8057148,10155025
5.0,10457531,7765378,71609497,7833075,16831549,17318672,8085336,16930080,8131563,10066675
