,B,C,D,E,G,H,K,L
3.0,12120,14553,14553,14480,15323,12556,14329,13775
5.0,12490,14592,14592,14441,15792,12937,14370,14165
7.0,12844,16839,16839,16490,16278,13308,16560,14616
