,1,10,11,12,12A,2,4,6,7,8,9
3.0,2643750,3200185,3377440,2732730,2667600,3224930,3224930,3224930,3224930,3224930,3224930
4.0,2653125,3204225,3388045,2742480,2676720,3236545,3236545,3236545,3236545,3236545,3236545
