,A,B,C,D,E,F,G,H,J,K,L,M
6.0,8097870,6651128,5620644,6236536,6598856,8328432,7871556,7847126,5747313,5710419,7847126,7722418
13.0,8072218,6629832,5970816,6412120,6574172,8073240,8073240,8048710,5911191,5872152,8048710,7920055
20.0,8276268,6796812,5808084,6400320,6583368,8070300,8070300,8045194,6125262,5873439,8045194,7936962
