,A,B,C,D,E,F,G,H
8.0,7071636,6103023,8829924,7071636,7180472,6204444,6036555,8211021
23.0,8110986,9259075,9154542,8317725,7544160,6536211,6220488,8185827
38.0,8371818,6247419,6572310,7893652,9650043,9929465,9371478,7581340
