,10,2,3,4,5,6,7,8,9,D10,D3,D5
4.0,370,460,294,300,300,294,312,312,300,370,294,300
7.0,370,460,294,300,318,294,312,312,300,370,294,300
10.0,370,460,294,300,318,294,312,312,370,370,294,300
