,A,B,C,D,E,F,G,H,J,K
7.0,11991,12030,12275,11805,11896,12068,11991,11991,12013,11918
18.0,12557,12679,12963,12534,12529,12789,12557,12557,12711,12608
28.0,13201,13255,13571,13104,13146,13484,13201,13201,13229,13215
