,A,A1,B,C,D,E,F
6.0,9453780,6891106,6743646,6062280,5706480,6714150,3961932
10.0,9727202,7113735,6961668,6258280,6040350,6555540,4090116
13.0,9982106,7281117,7125453,6405280,6029655,6709560,4186254
