,A,C,D,E,F,G,H,I,J,K,L
2.0,7920,7959,8052,7994,7871,7994,7632,8360,8233,8231,7791
3.0,7958,8033,8093,8033,7908,8904,7670,8406,8274,8273,7829
4.0,7995,8073,8134,8073,7946,8073,7707,8448,8254,8136,7867
