,A1,A2,A3,B1,B2,B3,B4,B5,C,D
4.0,446,355,343,352,322,300,308,311,442,369
7.0,446,489,343,352,322,300,308,311,442,369
10.0,446,355,343,352,322,300,308,311,442,369
