,1,2,3,4,5,6,B3,B4,B6,D2,D3,D4,D5,D6,F2,F3,H6,J1,J2,J3,J4,J6
4.0,14218,13371,12241,12052,14279,14218,12289,13630,14008,15040,12827,12293,11952,12597,14509,12464,14218,13852,14351,12191,12640,14117
8.0,14724,14644,13963,13610,15150,14725,13963,14129,14891,15488,14174,13823,12751,13373,15016,13648,14725,14331,15108,12935,13915,14618
12.0,15174,15138,14420,14060,15647,15174,14424,14559,15549,16082,14327,14281,13175,13325,15546,14088,15174,15241,15604,13386,14372,15071
