,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
12.0/F低層A,12.0,低層,A,8473900,20975,404,357,3,HCB
24.0/F中層A,24.0,中層,A,9386940,23235,404,351,3,HCB
35.0/F高層A,35.0,高層,A,10142420,25105,404,393,4,HCB
12.0/F低層B,12.0,低層,B,11806728,21389,552,327,4,HCB
24.0/F中層B,24.0,中層,B,12767760,23130,552,333,4,HCB
35.0/F高層B,35.0,高層,B,13789512,24981,552,315,4,HCB
12.0/F低層C,12.0,低層,C,6176620,23308,265,380,3,HCB
24.0/F中層C,24.0,中層,C,6551065,24721,265,360,3,HCB
35.0/F高層C,35.0,高層,C,7055625,26625,265,404,4,HCB
12.0/F低層D,12.0,低層,D,8381646,21658,387,410,3,HCB
24.0/F中層D,24.0,中層,D,9151002,23646,387,382,3,HCB
35.0/F高層D,35.0,高層,D,9868113,25499,387,348,3,HCB
12.0/F低層E,12.0,低層,E,6260436,22932,273,390,3,HCB
24.0/F中層E,24.0,中層,E,6804525,24925,273,328,3,HCB
35.0/F高層E,35.0,高層,E,7167888,26256,273,354,3,HCB
12.0/F低層F,12.0,低層,F,8225230,20410,403,376,3,HCB
24.0/F中層F,24.0,中層,F,8982467,22289,403,363,3,HCB
35.0/F高層F,35.0,高層,F,9640163,23921,403,329,3,HCB
