,subjFloor,floorLv,unitNo,price,npsf,nfa
5.0/F低層A,5.0,低層,A,36896860,23959,1540
10.0/F中層A,10.0,中層,A,38155040,24776,1540
17.0/F高層A,17.0,高層,A,39912180,25917,1540
5.0/F低層B,5.0,低層,B,38522640,24694,1560
10.0/F中層B,10.0,中層,B,39109200,25070,1560
17.0/F高層B,17.0,高層,B,42594240,27304,1560
5.0/F低層C,5.0,低層,C,33895680,21728,1560
10.0/F中層C,10.0,中層,C,34929960,22391,1560
17.0/F高層C,17.0,高層,C,36249720,23237,1560
5.0/F低層D,5.0,低層,D,36411760,23644,1540
10.0/F中層D,10.0,中層,D,37803920,24548,1540
17.0/F高層D,17.0,高層,D,39550280,25682,1540
