,A,B,C,D,E,F,G,H
8.0,7474008,7340646,4990070,5143830,7305752,7605458,5172970,5009290
19.0,7784230,7671422,5187850,5374470,7621710,7872182,5327970,5164290
30.0,7920938,8012714,5356180,5454140,7998374,8018928,5432750,5484520
