,A,B,C,D,E,F,G,H,I,J
5.0,13588,13874,13561,13561,13205,13491,13515,13270,13530,13484
9.0,13953,13898,13898,13898,13529,13826,13851,13614,13866,13821
13.0,14249,14221,14221,14221,13852,14147,14172,13940,14188,14142
