,A1,A2,A3,A4,B2,B3,C1,C2,C3,D1,D2,D3,D4
3.0,3851080,3637430,2986400,3253410,3637430,3202350,3241380,3531965,3202350,3252795,3313050,2972835,2743780
4.0,3870000,3655230,3003200,3270060,3655230,3218630,3655230,3589370,2812370,3255980,3330210,2987475,2757300
