,A,B,C,F,I,M,O,R,S,T,U
2.0,6499,6762,7218,6802,6757,6699,6776,6493,6437,7162,7331
3.0,6533,6782,7248,6836,6792,6765,6811,6526,6639,7197,7335
4.0,6563,6831,7281,6871,6826,6767,6845,6559,6500,7238,7409
