,5A,5B,5C,5D,5E,5F,5G,A,B,C,D,E,F,G,H
6.0,535,353,353,535,535,364,364,535,353,353,535,535,364,364,535
13.0,535,353,353,535,535,364,364,535,353,353,535,535,364,364,535
20.0,535,353,353,535,535,364,364,535,353,353,535,535,364,364,530
