,A,AB,B,C,D,E,EF,F
6.0,11661,13442,12141,12048,11994,12897,13442,12796
16.0,12123,14105,12709,12600,12191,13056,14105,12599
26.0,12405,14747,12928,12432,13065,12633,14747,13190
