,A,B,C,D,E,F,G,H,J,K
4.0,6763032,5247990,6066984,4436953,3865236,3908898,3059700,4831840,4122820,4120473
9.0,6738642,5360355,6188336,4548758,4213927,3991243,3143595,3859412,4209680,5246430
14.0,5812716,3512364,5206383,4037487,4309633,4080865,3392928,5471348,4304216,5361966
