,A,B,C,D,E,F,G,H,I,J,K,L,M,N
5.0,9567,9745,9745,9245,9590,9197,9716,9028,9028,9564,9265,9303,8812,9394
8.0,9596,9994,9166,9408,9620,9374,8943,9406,9406,9594,9504,9556,9224,9361
10.0,9585,10193,9383,9517,9609,9487,9066,9523,9523,9614,9616,9607,9341,9346
