,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9
6.0,2900785,,,1933214,2532985,3272256,3232242,2532985,2532985,3152242,3202920,,,2597174,2267013,1903356,1891694,1831830,,,3188390,,1999998,1891694,1903356,1942703,2642035,2595940
16.0,3223795,3467616,3363246,2009101,2160289,,3438182,2189003,2113409,3241968,3327888,2621655,,2698012,2118921,1996456,1984232,1967394,2657859,2643551,3312065,,2375802,1984232,1996456,2023063,2742873,2699825
27.0,3352320,,3435717,2066529,2724900,3521992,3565869,2724900,2058911,3392333,3431208,,2765790,2781779,2230224,2079575,2073024,2035872,,,,2717595,2052864,2073024,2079575,2208690,2825449,2783960
