,11,12A,17,18,20,4,5,6,7
5.0,11701,11847,11740,11725,11870,12055,11906,12150,12128
6.0,11053,11275,11082,12290,11204,11381,11158,11472,11455
8.0,9757,9838,11385,10459,9871,10031,9812,10114,10107
