,A,AB,B,C,D,E,F,G,H
13.0,8941520,22331260,8419670,10835985,7567924,8760060,8088430,8455881,10288128
29.0,8825390,24509800,9026780,10883856,8109136,8291184,8646540,8464092,10756791
45.0,8789130,26705000,9373210,10989054,8520876,8867808,8360380,8587740,11415165
