,A,B,C,D,E,F,G,H,J,JK,K
31.0,35108,36722,34156,37020,38477,36057,35416,33751,34334,38072,33145
72.0,41914,40756,39589,40768,43197,42152,41797,38110,39781,44398,37797
104.0,,,,,,,,,,,
