,1,2,4,5,A,B,C,D,E,F
6.0,10523,10395,10580,10406,10476,10725,10589,10546,10717,10461
11.0,10753,10624,10810,10635,10705,10972,10820,10776,11086,10690
18.0,11063,10932,11121,11048,11015,11315,11133,11086,11427,11000
