,A,B,C,D,E,F,G,H,I,J
3.0,11355,10817,10676,10909,12140,11270,10251,9743,12695,11638
8.0,12338,10503,10283,12348,12568,12277,12932,9984,12339,12518
12.0,10210,11369,11481,10239,12717,11755,10135,10155,10214,12860
