,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,A1,A10,A11,A12,A15,A16,A2,A3,A4,A5,A6,A7,A8
6.0,460,375,370,460,375,395,395,375,370,375,390,375,370,395,375,420,460,390,375,390,395,375,375,375,390,370,395,395,375
14.0,390,375,375,460,375,395,395,375,370,375,420,375,395,370,370,395,460,390,375,460,395,375,370,375,390,375,395,395,375
21.0,460,375,375,460,375,395,395,375,375,390,390,370,370,395,370,412,460,375,375,460,395,375,370,375,390,375,395,395,375
