,A,B,C,E,G,H,J,K
5.0,10558,10627,11205,11056,10608,10935,10621,11004
12.0,10904,11000,11086,11439,10982,11323,10994,11386
18.0,11206,11314,11401,11761,11297,11642,11454,11707
