,B1,B10,B12,B14,B15,B2,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,F.P.,whole floor
2.0,6349941,6360822,6590709,3491103,3354932,6178221,6200064,3068975,3257166,3207530,3217709,6519825,8032520,6914097,6617744,6519488,7117020,6628720,6513600,6405040,6616940,5962575,6619980
4.0,6293430,6288516,6514695,3532617,3389820,6108125,6261840,3101000,3285403,3241015,3253800,6698835,8074380,6988381,6682880,6573952,7210120,6700540,6481952,6473856,6687620,5894844,6690660
7.0,6348888,6331689,6558237,3615084,3442348,6148902,6319404,3148950,3336267,3291150,3304290,6613893,8202720,7054706,6256368,6598608,7188460,6804660,6539360,6525744,6754500,5943636,7280040
