,A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,Q,R,S,whole floor
3.0,11387,11434,11421,11444,11421,11434,11685,11618,11512,11266,11658,12204,11473,11363,11473,11486,11805,11671,11349
6.0,11555,11604,11590,11613,11590,11604,11857,11790,11683,10450,11806,12363,10809,11524,11643,11656,11979,11843,11806
9.0,11720,11770,11756,11780,11756,11770,11834,11766,11850,10783,11981,12426,11810,11515,11810,11823,11955,11820,11660
