,1,10,11,12,13,14,15,16,17,18,2,3,4,5,6,7,8,9
7.0,12124,11442,12514,12093,12124,12393,11552,12187,12401,11771,12055,11537,12044,12324,10650,11741,12093,12189
18.0,12734,12027,12975,12785,12734,13143,12133,12991,12858,12387,12735,12115,12991,13062,11162,12524,12993,12793
28.0,13142,12614,13602,13318,13142,13667,12844,13340,12582,13178,13384,12652,13340,13147,11775,12641,13133,13425
