,A,B,C,C & D,CD,D,E,F,G,H,I,J,K,L
3.0,2524095,2673610,2707025,,,2682630,2690215,2681605,2662540,2690215,2450976,2639000,2541891,2639000
7.0,2586843,2740850,2773650,,,2749870,2757250,2367340,2729780,2757250,2509584,2704800,2609024,2704800
11.0,2952285,2809525,3839628,,,3806710,2826130,2817315,2798455,2826130,2570832,2772400,2677653,2772400
