,LA,LB,LC,LD,RA,RB,RC,RD
19.0,11560,12240,12442,10246,12392,11743,11617,12361
40.0,11803,12624,12941,12253,12760,11430,11748,12580
60.0,13639,12595,13210,12155,13107,12950,11999,12190
