,A,B,C,D,E1,E2,F,G,H,K,L
5.0,15290,15330,15330,16023,12641,15220,15391,15277,16110,15363,15833
8.0,15610,15651,15651,16358,12912,15539,15713,15597,16447,15684,16164
11.0,15930,15972,15972,16693,13182,15858,16036,15917,16785,16006,16495
