,A,B,C,D,E,F,G,H,I,J
6.0,5903499,6054795,5074524,4337520,4375198,6624519,5903499,4680930,4397172,4827420
17.0,6236232,6236232,5270148,4694528,4607324,6236823,6236232,4982343,4757568,5075928
27.0,6508683,6508683,5506956,4797560,4780790,6528777,6508683,5184674,4795908,5282316
