,A,B,C,D,E,F,G,H,J,K,L
10.0,5534226,5481826,5494775,5679093,8039504,3350871,4202432,5523804,5867433,5872625,5619060
19.0,6039886,5902336,5736720,5711468,7604168,4185423,4181424,5560083,6274542,5706525,6060020
27.0,6058488,5678326,5811715,5720015,8053716,4138590,4093648,5695281,6786411,6394575,5893865
