,B,C,D,E,F,G,H,J,K
4.0,5816031,5804802,5825872,4552222,5013712,5816031,5851030,4930992,4537808
10.0,5965554,5954916,5975648,4663851,5052013,5965554,5983190,5053928,4650554
16.0,6115077,6105030,6126016,4775049,5172721,6115077,6131870,5176864,4764174
