,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q
4.0,417,449,289,289,417,455,299,276,299,455,415,289,289,417,449
10.0,417,449,289,289,417,455,299,276,299,455,415,289,289,417,449
17.0,390,449,289,289,417,455,299,276,299,455,415,289,289,390,449
