,A,B,C,D,E,F,G,H,I,J,K,L,M,N
5.0,426,381,370,373,376,370,368,332,271,421,347,368,368,374
8.0,426,381,370,373,376,370,368,332,368,271,347,368,368,374
10.0,426,381,370,373,376,370,368,332,368,271,347,368,368,374
