,A,B,C,D,E,F,G,I,J,K,L,M,N,O,P,Q,R,REAR
3.0,12028,12491,13010,12965,13010,13010,13010,12776,13010,13010,13365,12980,13010,13021,12733,10284,13012,12608
6.0,12560,12680,12988,12967,12988,12988,12988,12872,12988,12988,13466,12985,12988,13023,12840,10444,13207,12799
9.0,12538,12872,13188,13166,13188,13188,13188,13081,13188,13188,13662,13184,13188,13222,13040,10604,13071,12993
