,A,B,C,D,E,F,G,I,J,K,L
2.0,12004,9960,9363,9363,9929,11693,7615,11473,10448,10137,8897
3.0,12065,9891,9410,9410,9979,11752,7653,10396,10500,10188,8941
4.0,12125,9941,9457,9457,10029,11811,7692,10448,10553,10239,8986
