,LA,LB,LC,LD,LE,RA,RB,RC,RD,RE
9.0,747,748,519,521,513,747,748,515,526,520
26.0,747,748,519,521,513,747,748,515,526,520
40.0,747,748,519,521,513,747,748,515,526,520
