,A,B,C,D,D2,E,F,G,H,J
3.0,12260,12930,12371,14089,11491,11893,12446,12392,12465,12316
8.0,12691,13372,12807,14572,11939,12294,12886,12828,12906,12750
13.0,13323,14015,13424,15068,12358,14051,13301,13244,13323,13160
