,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,LL,M-M,MM,NN,OO,PP,QQ,QQ & RR,RR,SS,TT,UU,VV,WW,XX,YY,ZZ
3.0,10738,11323,11037,11402,10771,10955,10721,11166,11091,9022,11091,10457,11776,11031,11080,10859,10855,11437,10359,10757,10482,11088,11329,11088,11088,11088,11088,11088
8.0,9488,9521,11547,12005,11539,9663,11200,11615,9753,9428,9556,9630,9391,11540,9545,9611,9734,9592,9120,9748,11236,9553,9535,9554,9401,9634,9528,9553
12.0,9813,9847,9523,12463,11920,9995,11598,12436,10173,9752,9854,9927,9720,11954,10094,9899,9922,9922,9428,10331,10587,9861,9861,10148,9723,9982,9854,9880
