,A,B,C,D,E,F,G,H,J,K
9.0,11547609,7312164,6131961,7306131,7957758,8354255,6517280,6554016,6373117,7640490
18.0,12628316,7335294,7369637,7727524,8170386,9107959,6951290,7060928,7003761,8206198
27.0,13082154,7556057,7759004,8135708,8700264,9577519,7215100,7494368,7304142,8599162
