,A2,B1,B3,B4,C2,C4,D1,D3,D4
2.0,9669,10250,10283,9701,9728,9806,9644,9569,10191
3.0,9752,10550,10320,9740,9767,9871,9683,9605,10229
4.0,9791,10329,10361,9780,9808,9887,9723,9646,10270
