,A1,A2,D1,D2,D3,D4,whole floor
3.0,14310777,14069025,13809042,12204462,9750660,14101935,14126069
6.0,15466645,14288425,14022684,12392238,9898990,14319141,14315850
8.0,15621005,14436520,14167270,12519378,10000865,12519378,14467236
