,A,AF,B,C,D,E,F
6.0,17345120,32792272,14451450,9776470,15622882,17138319,9954210
15.0,18513040,34556690,15262650,10359630,16523903,18107100,10553196
24.0,19186960,36142816,16165500,10919610,17537135,19039053,11111094
